courseCode,name,Academic Unit,URL,Course Description,Course Aims,Course Learning Outcomes,details,Skills,All_Skills,Topics,Knowledge,Summary
BINF3010,Applied Bioinformatics,School of Computer Science and Engineering,https://www.unsw.edu.au/course-outlines/course-outline#year=2024&term=Term%202&deliveryMode=Multimodal&deliveryFormat=Standard&teachingPeriod=T2&deliveryLocation=Kensington&courseCode=BINF3010&activityGroupId=1,"Bioinformatics (the use of computing methods for the management and analysis of molecular biology data) has become an integral component of biomolecular sciences, especially genomics and proteomics. This course focuses on the principles and practical use of bioinformatics methods and resources for the analysis of DNA and protein sequences and structures, as well as results from genomic, transcriptomic and proteomic experiments, with emphasis on their evolutionary underpinnings and statistical foundations. This course does not require programming, however it does involve the use of Linux.","Bioinformatics now pervades biological research, and new methods and technologies are constantly developed. This course is aimed at teaching bioinformatics from a user’s perspective (as opposed to that of a developer), to emphasise the use of bioinformatics to assist in biological discovery.
BINF3010 is the second bioinformatics course taken by students in a bioinformatics major, and is also available as an elective for students in a biology major who want to apply bioinformatics as part of biology research.
BINF9010 is available as an elective for postgraduate students with the assumed biology knowledge.
Since bioinformatics constantly evolves the goal is not to teach the use of specific tools and methods but to focus on principles, limitations and assumptions of common approaches to provide the means for students to research and evaluate new methods and apply them intelligently to produce meaningful results.","Choose and use bioinformatics tools and databases to analyse biological sequences, structures and functional genomics data
Analyse data from high-throughput molecular biology experiments using the R environment
Choose and apply computational methods for predicting protein tertiary structure
Explain the fundamental biology concepts that provide the context for bioinformatics, including sequence, structure and function as they relate to biological information macromolecules and molecular evolution
Identify the strengths and limitations of the main approaches used in sequence and structural bioinformatics, functional genomics and systems biology
Interpret and analyze data generated by proteomics experiments using bioinformatics
Use the UNIX shell to manage and analyse biological sequence and functional genomics data","Course Description: Bioinformatics (the use of computing methods for the management and analysis of molecular biology data) has become an integral component of biomolecular sciences, especially genomics and proteomics. This course focuses on the principles and practical use of bioinformatics methods and resources for the analysis of DNA and protein sequences and structures, as well as results from genomic, transcriptomic and proteomic experiments, with emphasis on their evolutionary underpinnings and statistical foundations. This course does not require programming, however it does involve the use of Linux.
Course Aims: Bioinformatics now pervades biological research, and new methods and technologies are constantly developed. This course is aimed at teaching bioinformatics from a user’s perspective (as opposed to that of a developer), to emphasise the use of bioinformatics to assist in biological discovery.
BINF3010 is the second bioinformatics course taken by students in a bioinformatics major, and is also available as an elective for students in a biology major who want to apply bioinformatics as part of biology research.
BINF9010 is available as an elective for postgraduate students with the assumed biology knowledge.
Since bioinformatics constantly evolves the goal is not to teach the use of specific tools and methods but to focus on principles, limitations and assumptions of common approaches to provide the means for students to research and evaluate new methods and apply them intelligently to produce meaningful results.
Course Learning Outcomes: Choose and use bioinformatics tools and databases to analyse biological sequences, structures and functional genomics data
Analyse data from high-throughput molecular biology experiments using the R environment
Choose and apply computational methods for predicting protein tertiary structure
Explain the fundamental biology concepts that provide the context for bioinformatics, including sequence, structure and function as they relate to biological information macromolecules and molecular evolution
Identify the strengths and limitations of the main approaches used in sequence and structural bioinformatics, functional genomics and systems biology
Interpret and analyze data generated by proteomics experiments using bioinformatics
Use the UNIX shell to manage and analyse biological sequence and functional genomics data",bioinformatics tool usage; biological data analysis; protein structure prediction; UNIX shell proficiency; R programming for bioinformatics; data interpretation in proteomics,bioinformatics tool usage; biological data analysis; protein structure prediction; UNIX shell proficiency; R programming for bioinformatics; data interpretation in proteomics; DNA analysis; protein analysis; genomic data management; transcriptomic analysis; proteomic analysis; functional genomics; systems biology; evolutionary foundations of bioinformatics; statistical principles in bioinformatics; molecular biology context for bioinformatics; limitations of bioinformatics methods; application of computational methods in biology,DNA and protein sequence analysis; protein structure analysis; genomic data management; transcriptomic analysis; proteomic analysis; functional genomics; systems biology,evolutionary foundations of bioinformatics; statistical principles in bioinformatics; molecular biology context for bioinformatics; limitations of bioinformatics methods; application of computational methods in biology,"This course applies bioinformatics principles and resources to analyze DNA, protein sequences, and structures, as well as experimental results, emphasizing evolutionary underpinnings and statistical foundations."
BINF9010,Applied Bioinformatics,School of Computer Science and Engineering,https://www.unsw.edu.au/course-outlines/course-outline#year=2024&term=Term%202&deliveryMode=Multimodal&deliveryFormat=Standard&teachingPeriod=T2&deliveryLocation=Kensington&courseCode=BINF9010&activityGroupId=1,"Dive into the dynamic world of Applied Bioinformatics, a course designed to bridge the gap between computational technology and biological discovery. This course will give you the opportunity to apply computational strategies in tackling pressing challenges in biology, focusing on the practical aspects of managing, analysing, and interpreting complex biological data. Through a blend of theoretical foundations and hands-on practice, you will become proficient in utilizing cutting-edge bioinformatics tools and techniques. This includes the analysis of DNA, RNA, and protein data, as well as the exploration of molecular structure and function.
Structured to mirror real-life bioinformatics inquiries, this course emphasizes the application of bioinformatics in understanding and solving biological problems. As you progress, you will acquire a toolkit that prepares you to contribute to the fields of genomics, proteomics, and more. This course is more than an educational journey; it is a step towards diverse career paths, from bioinformatician to wet-lab scientist seeking an introduction to essential bioinformatic tools. No prior programming experience is necessary; it will be taught in the course.","This course aims to equip students with critical bioinformatic skills from a user perspective, emphasizing the application of computational tools to assist in biological discovery. Through hands-on practice and engagement with current research, students will develop the ability to analyse complex biological data and communicate their findings effectively. Ultimately, this course prepares students for a future in which they can contribute innovatively to the fields of genomics, proteomics, and beyond, leveraging bioinformatics to drive scientific advancements.
BINF3010 is the second bioinformatics course taken by students in a bioinformatics major, and is also available as an elective for students in a biology major who want to apply bioinformatics as part of biology research. BINF9010 is available as an elective for postgraduate students with the assumed biology knowledge.","Analyze, manage and interpret sequence, structure and functional data
Apply and evaluate sequence, structure and functional databases and associated tools to address biological problems
Explain the biology concepts that provide the context for bioinformatics analysis of biological data, including sequence, structure and function
Identify the strengths and limitations of the key bioinformatics approaches used in sequence, structure and functional data","Course Description: Dive into the dynamic world of Applied Bioinformatics, a course designed to bridge the gap between computational technology and biological discovery. This course will give you the opportunity to apply computational strategies in tackling pressing challenges in biology, focusing on the practical aspects of managing, analysing, and interpreting complex biological data. Through a blend of theoretical foundations and hands-on practice, you will become proficient in utilizing cutting-edge bioinformatics tools and techniques. This includes the analysis of DNA, RNA, and protein data, as well as the exploration of molecular structure and function.
Structured to mirror real-life bioinformatics inquiries, this course emphasizes the application of bioinformatics in understanding and solving biological problems. As you progress, you will acquire a toolkit that prepares you to contribute to the fields of genomics, proteomics, and more. This course is more than an educational journey; it is a step towards diverse career paths, from bioinformatician to wet-lab scientist seeking an introduction to essential bioinformatic tools. No prior programming experience is necessary; it will be taught in the course.
Course Aims: This course aims to equip students with critical bioinformatic skills from a user perspective, emphasizing the application of computational tools to assist in biological discovery. Through hands-on practice and engagement with current research, students will develop the ability to analyse complex biological data and communicate their findings effectively. Ultimately, this course prepares students for a future in which they can contribute innovatively to the fields of genomics, proteomics, and beyond, leveraging bioinformatics to drive scientific advancements.
BINF3010 is the second bioinformatics course taken by students in a bioinformatics major, and is also available as an elective for students in a biology major who want to apply bioinformatics as part of biology research. BINF9010 is available as an elective for postgraduate students with the assumed biology knowledge.
Course Learning Outcomes: Analyze, manage and interpret sequence, structure and functional data
Apply and evaluate sequence, structure and functional databases and associated tools to address biological problems
Explain the biology concepts that provide the context for bioinformatics analysis of biological data, including sequence, structure and function
Identify the strengths and limitations of the key bioinformatics approaches used in sequence, structure and functional data",Bioinformatics analysis and application; data management and interpretation; effective use of bioinformatics tools and databases; understanding of biological concepts relevant to bioinformatics,Bioinformatics analysis and application; data management and interpretation; bioinformatics tool usage; DNA analysis; RNA analysis; protein analysis; molecular structure and function exploration; application of computational methods in biology; communication and evaluation of bioinformatics research,"DNA analysis; RNA analysis; protein analysis; molecular structure and function exploration; application of computational strategies to biological problems; use of bioinformatics in genomics and proteomics; sequence, structure, and functional data management",practical and theoretical aspects of bioinformatics; application of bioinformatics in genomics and proteomics; communication and evaluation of bioinformatics research; understanding biological concepts through bioinformatics methods,"This course applies computational strategies to tackle pressing biological challenges by teaching students to manage, analyze, and interpret complex biological data."
COMP1010,The Art of Computing,School of Computer Science and Engineering,https://www.unsw.edu.au/course-outlines/course-outline#year=2024&term=Term%201&deliveryMode=Multimodal&deliveryFormat=Standard&teachingPeriod=T1&deliveryLocation=Kensington&courseCode=COMP1010&activityGroupId=1,"This course aims to provide a grounding in computational thinking for anyone who wants one. It assumes no previous programming background, but does assume that all incoming students have used digital devices, such as tablets and smart phones, for a range of tasks (e.g. social networking, reading, essay writing, etc.). The course will use Python as the programming medium and use real world examples from a variety of domains to motivate understanding.","This course aims to provide a grounding in programming and computational thinking for any undergraduate interested in learning these essential skills. It assumes no previous programming background, but does assume that all incoming students have used digital devices, such as tablets and smart phones, for a range of tasks (e.g. social networking, reading, essay writing, etc.). The course will use Python as the programming medium.
The course is a purely elective course, intended to be available as a General Education course for non-CSE students.
Topics: computer systems, computational problem solving, spreadsheets, programming in Python.","Use a spreadsheet for simple data management tasks
Write Python programs to solve simple computational problems
Build simple human-centered interfaces to computers
Solve problemsvia computer systems","Course Description: This course aims to provide a grounding in computational thinking for anyone who wants one. It assumes no previous programming background, but does assume that all incoming students have used digital devices, such as tablets and smart phones, for a range of tasks (e.g. social networking, reading, essay writing, etc.). The course will use Python as the programming medium and use real world examples from a variety of domains to motivate understanding.
Course Aims: This course aims to provide a grounding in programming and computational thinking for any undergraduate interested in learning these essential skills. It assumes no previous programming background, but does assume that all incoming students have used digital devices, such as tablets and smart phones, for a range of tasks (e.g. social networking, reading, essay writing, etc.). The course will use Python as the programming medium.
The course is a purely elective course, intended to be available as a General Education course for non-CSE students.
Topics: computer systems, computational problem solving, spreadsheets, programming in Python.
Course Learning Outcomes: Use a spreadsheet for simple data management tasks
Write Python programs to solve simple computational problems
Build simple human-centered interfaces to computers
Solve problemsvia computer systems",Python programming; spreadsheet data management; computational problem solving; human-centered interface design,Python; spreadsheet data management; problem-solving; UI design; computer systems,Python programming; computational thinking; computer systems; spreadsheet usage, basics of computer systems; principles of computational problem solving; application of Python in various domains,"This course introduces students to computational thinking and programming using Python, assuming no prior experience with coding."
COMP1511,Programming Fundamentals,School of Computer Science and Engineering,https://www.unsw.edu.au/course-outlines/course-outline#year=2024&term=Term%202&deliveryMode=In%20Person&deliveryFormat=Standard&teachingPeriod=T2&deliveryLocation=Kensington&courseCode=COMP1511&activityGroupId=1,"From recent innovations in AI like self-driving cars to humanoid robotics navigating complex environments, leapfrogs in battery technology to sequencing the human genome - the world is benefiting and evolving thanks to computer systems. At the core of all these systems are computers executing instructions to solve exciting problems.
In this course, you will learn the fundamentals of how we instruct computers to solve problems. You will explore the architecture and mechanics of how computers operate and how you can translate real-world problems to computer programs that solve these problems.
The concepts you learn will provide a foundation for your future endeavours in computing and, we hope, will begin to change the way you think about real-world problems.
This course is an introductory course to the basics of Computer Programming and Computer Science. It is intended as an introduction to studying further in Computer Science or related fields. Topics include:
Fundamental programming conceptsIntroduction to Computer ScienceThe C programming language and use of a C compilerProgramming styleProgram design and organisation conceptsProgram testing and debugging","The importance of this course lies in its role as the foundation of your programming journey, providing essential knowledge and skills vital for your success in the field. By focusing on proficiency in the high-level programming language C and fostering problem-solving abilities, this course equips you with the fundamental tools and mindset necessary to think like a programmer.
As the first course in the program, it plays a crucial role in setting the stage for your future learning. It serves as a prerequisite for many of the core courses, ensuring that all students begin with a solid understanding of the fundamental concepts required to progress further. By establishing a common knowledge base and skills, this course ensures that everyone starts on an equal footing and can effectively tackle more advanced topics.
This course intends to guide you through the initial stages of your programming education, imparting technical proficiency in C and the ability to approach problems systematically and think critically. By emphasizing problem-solving strategies, debugging techniques, and testing methodologies, the course aims to instill in you a resilient and adaptable mindset that will serve as a solid foundation for your future development as a programmer.","Read and understand coding solutions
Apply basic data structures, such as arrays and linked lists, to solve complex problems
Review the produced code against specification criteria by applying testing techniques
Apply C programming language to solve simple decision, looping, array, and linked list problems programmatically","Course Description: From recent innovations in AI like self-driving cars to humanoid robotics navigating complex environments, leapfrogs in battery technology to sequencing the human genome - the world is benefiting and evolving thanks to computer systems. At the core of all these systems are computers executing instructions to solve exciting problems.
In this course, you will learn the fundamentals of how we instruct computers to solve problems. You will explore the architecture and mechanics of how computers operate and how you can translate real-world problems to computer programs that solve these problems.
The concepts you learn will provide a foundation for your future endeavours in computing and, we hope, will begin to change the way you think about real-world problems.
This course is an introductory course to the basics of Computer Programming and Computer Science. It is intended as an introduction to studying further in Computer Science or related fields. Topics include:
Fundamental programming conceptsIntroduction to Computer ScienceThe C programming language and use of a C compilerProgramming styleProgram design and organisation conceptsProgram testing and debugging
Course Aims: The importance of this course lies in its role as the foundation of your programming journey, providing essential knowledge and skills vital for your success in the field. By focusing on proficiency in the high-level programming language C and fostering problem-solving abilities, this course equips you with the fundamental tools and mindset necessary to think like a programmer.
As the first course in the program, it plays a crucial role in setting the stage for your future learning. It serves as a prerequisite for many of the core courses, ensuring that all students begin with a solid understanding of the fundamental concepts required to progress further. By establishing a common knowledge base and skills, this course ensures that everyone starts on an equal footing and can effectively tackle more advanced topics.
This course intends to guide you through the initial stages of your programming education, imparting technical proficiency in C and the ability to approach problems systematically and think critically. By emphasizing problem-solving strategies, debugging techniques, and testing methodologies, the course aims to instill in you a resilient and adaptable mindset that will serve as a solid foundation for your future development as a programmer.
Course Learning Outcomes: Read and understand coding solutions
Apply basic data structures, such as arrays and linked lists, to solve complex problems
Review the produced code against specification criteria by applying testing techniques
Apply C programming language to solve simple decision, looping, array, and linked list problems programmatically",C programming; code debugging and testing; problem-solving strategies; applying basic data structures,C; code debugging and testing; problem-solving; data structures; computer systems,Fundamental programming concepts; computer science introduction; C programming language; programming design and organization; program testing and debugging,architecture and mechanics of computers; translating real-world problems into computer programs; foundational computer programming principles,"This course teaches you how to instruct computers to solve problems by learning fundamental programming concepts, computer architecture, and problem-solving strategies."
COMP1521,Computer Systems Fundamentals,School of Computer Science and Engineering,https://www.unsw.edu.au/course-outlines/course-outline#year=2024&term=Term%201&deliveryMode=Multimodal&deliveryFormat=Standard&teachingPeriod=T1&deliveryLocation=Kensington&courseCode=COMP1521&activityGroupId=1,"This course introduces students to how computer systems are structured in terms of basic electronic components, how they are used to implement procedural programs, and how they are structured as a collection of software layers. It introduces students to low-level software layers such as operating systems, and introduces concurrency concepts. The goal is to give students a solid understanding of what happens when high-level programs are executed, as a basis for further study in important areas of computing such as computer architecture, operating systems.","Provide a programmer's view on how a computer system executes programs, manipulates data and communicates
Enable students to become effective programmers in dealing with issues of performance, portability, and robustness
Serve as a foundation for later courses on networks, operating systems, computer architecture and compilers, where a deeper understanding of systems-level issues is required","Describe the relationship between a high-level procedural language (C
Describe the components comprising, and the services offered by, an operating system
Design, implement, and analyse small programs at the assembly/machine level
Describe the architectural layers (fundamental parts
Explain how the major components of a CPU work together, including how data and instructions are represented in a computer
Implement simple programs involving communication and concurrency
Describe the principles of memory management and explain the workings of a system with virtual memory management","Course Description: This course introduces students to how computer systems are structured in terms of basic electronic components, how they are used to implement procedural programs, and how they are structured as a collection of software layers. It introduces students to low-level software layers such as operating systems, and introduces concurrency concepts. The goal is to give students a solid understanding of what happens when high-level programs are executed, as a basis for further study in important areas of computing such as computer architecture, operating systems.
Course Aims: Provide a programmer's view on how a computer system executes programs, manipulates data and communicates
Enable students to become effective programmers in dealing with issues of performance, portability, and robustness
Serve as a foundation for later courses on networks, operating systems, computer architecture and compilers, where a deeper understanding of systems-level issues is required
Course Learning Outcomes: Describe the relationship between a high-level procedural language (C
Describe the components comprising, and the services offered by, an operating system
Design, implement, and analyse small programs at the assembly/machine level
Describe the architectural layers (fundamental parts
Explain how the major components of a CPU work together, including how data and instructions are represented in a computer
Implement simple programs involving communication and concurrency
Describe the principles of memory management and explain the workings of a system with virtual memory management",C programming; assembly language programming; systems-level programming; understanding CPU architecture; implementing concurrency; memory management techniques,"C; systems-level programming; understanding CPU architecture; implementing concurrency; memory management techniques; computer systems; operating systems; procedural programming; assembly/machine level programming; CPU component functionality; performance, portability, and robustness in programming; relationship between high-level languages and system execution; structure of software layers; Basic electronic components of computers",Computer system architecture; operating systems; procedural programming; assembly/machine level programming; CPU component functionality; concurrency in computing; virtual memory management,"Basic electronic components of computers; structure of software layers; execution of high-level programs; performance, portability, and robustness in programming; relationship between high-level languages and system execution","This course analyzes how computer systems execute programs, manipulating data and communicating, to provide a solid foundation for studying computer architecture, operating systems, and more."
COMP1531,Software Engineering Fundamentals,School of Computer Science and Engineering,https://www.unsw.edu.au/course-outlines/course-outline#year=2024&term=Term%201&deliveryMode=Multimodal&deliveryFormat=Standard&teachingPeriod=T1&deliveryLocation=Kensington&courseCode=COMP1531&activityGroupId=1,"This course teaches students about software engineering principles via exposure to the important practice of building correct products in effectively functioning teams.
You will be exposed to agile software practices, team collaboration and effective communication through implementing a group project based on agile software methodologies that require you to analyse, design, build and deploy a web-based application. This course is typically taken soon after completing COMP1511 but could be delayed and taken later. It provides essential background for the teamwork and project management required in many later courses.","This course aims to provide the students with a strong foundation in the fundamental principles and practices of software engineering that will prepare them for the advanced software engineering workshops. As such, a broad range of key software engineering topics will be taught and reinforced through a group project, that will enable students to apply the theoretical concepts acquired to solve a practical software engineering problem. An agile software delivery style has been chosen for the implementation of the group project, to make students familiar with modern agile development methodologies.","Demonstrate an understanding of how to use version control, continuous integration, and deployment tooling to sustainably integrate code from multiple parties
Understand key characteristics of a functioning team in terms of understanding professional expectations, maintaining healthy relationships, and managing conflict
Understand the software engineering life cycle in the context of modern and iterative software development practices in order to elicit requirements, design systems thoughtfully, and implement software correctly
Demonstrate effective use of software development tools to build full-stack end-user applications
Demonstrate effective use of static testing, dynamic testing, and user testing to validate and verify software systems
Demonstrate an ability to analyse complex software systems in terms of their data model, state model, and more","Course Description: This course teaches students about software engineering principles via exposure to the important practice of building correct products in effectively functioning teams.
You will be exposed to agile software practices, team collaboration and effective communication through implementing a group project based on agile software methodologies that require you to analyse, design, build and deploy a web-based application. This course is typically taken soon after completing COMP1511 but could be delayed and taken later. It provides essential background for the teamwork and project management required in many later courses.
Course Aims: This course aims to provide the students with a strong foundation in the fundamental principles and practices of software engineering that will prepare them for the advanced software engineering workshops. As such, a broad range of key software engineering topics will be taught and reinforced through a group project, that will enable students to apply the theoretical concepts acquired to solve a practical software engineering problem. An agile software delivery style has been chosen for the implementation of the group project, to make students familiar with modern agile development methodologies.
Course Learning Outcomes: Demonstrate an understanding of how to use version control, continuous integration, and deployment tooling to sustainably integrate code from multiple parties
Understand key characteristics of a functioning team in terms of understanding professional expectations, maintaining healthy relationships, and managing conflict
Understand the software engineering life cycle in the context of modern and iterative software development practices in order to elicit requirements, design systems thoughtfully, and implement software correctly
Demonstrate effective use of software development tools to build full-stack end-user applications
Demonstrate effective use of static testing, dynamic testing, and user testing to validate and verify software systems
Demonstrate an ability to analyse complex software systems in terms of their data model, state model, and more","Version control systems usage; continuous integration and deployment; agile software development practices; software testing (static, dynamic, user); full-stack software development; conflict management in teams","Version control systems: Git, GitHub, GitLab; continuous integration and deployment; software system design; agile software development; Front-end; Back-end; testing frameworks and practices; team collaboration; project management in software development; web application development; software testing, building and deployment


",Software engineering principles; agile methodologies; team collaboration; project management in software development; software development life cycle; software system analysis; ,Building and deploying web-based applications; use of development tools for creating end-user applications; understanding and managing software project workflows; eliciting software requirements and system design; maintaining effective team dynamics in a professional setting,"This course applies fundamental principles and practices of software engineering through a group project, emphasizing agile methodologies, teamwork, and communication."
COMP1911,Computing 1A,School of Computer Science and Engineering,https://www.unsw.edu.au/course-outlines/course-outline#year=2024&term=Term%202&deliveryMode=In%20Person&deliveryFormat=Standard&teachingPeriod=T2&deliveryLocation=Kensington&courseCode=COMP1911&activityGroupId=1,"From recent innovations in AI like self-driving cars to humanoid robotics navigating complex environments, leapfrogs in battery technology to sequencing the human genome - the world is benefiting and evolving thanks to computer systems. At the core of all these systems are computers executing instructions to solve exciting problems.
In this course, you will learn the fundamentals of how we instruct computers to solve problems. You will explore the architecture and mechanics of how computers operate and how you can translate real-world problems to computer programs that solve these problems.
The concepts you learn will provide a foundation for your future endeavours in computing and, we hope, will begin to change the way you think about real-world problems.
This course is an introductory course to the basics of Computer Programming and Computer Science. It is intended as an introduction to studying further in Computer Science or related fields. Topics include:
Fundamental programming conceptsIntroduction to Computer ScienceThe C programming language and use of a C compilerProgramming styleProgram design and organisation conceptsProgram testing and debugging
Additional Information:
This course is taught within COMP1511.","This course intends to guide you through the initial stages of your programming education, imparting technical proficiency in C and the ability to approach problems systematically and think critically. By emphasizing problem-solving strategies, debugging techniques, and testing methodologies, the course aims to instill in you a resilient and adaptable mindset that will serve as a solid foundation for your future development as a programmer.","Read and understand coding solutions
Apply basic data structures, such as arrays and linked lists, to solve complex problems
Review the produced code against specification criteria by applying testing techniques
Apply C programming language to solve simple decision, looping, array, and linked list problems programmatically","Course Description: From recent innovations in AI like self-driving cars to humanoid robotics navigating complex environments, leapfrogs in battery technology to sequencing the human genome - the world is benefiting and evolving thanks to computer systems. At the core of all these systems are computers executing instructions to solve exciting problems.
In this course, you will learn the fundamentals of how we instruct computers to solve problems. You will explore the architecture and mechanics of how computers operate and how you can translate real-world problems to computer programs that solve these problems.
The concepts you learn will provide a foundation for your future endeavours in computing and, we hope, will begin to change the way you think about real-world problems.
This course is an introductory course to the basics of Computer Programming and Computer Science. It is intended as an introduction to studying further in Computer Science or related fields. Topics include:
Fundamental programming conceptsIntroduction to Computer ScienceThe C programming language and use of a C compilerProgramming styleProgram design and organisation conceptsProgram testing and debugging
Additional Information:
This course is taught within COMP1511.
Course Aims: This course intends to guide you through the initial stages of your programming education, imparting technical proficiency in C and the ability to approach problems systematically and think critically. By emphasizing problem-solving strategies, debugging techniques, and testing methodologies, the course aims to instill in you a resilient and adaptable mindset that will serve as a solid foundation for your future development as a programmer.
Course Learning Outcomes: Read and understand coding solutions
Apply basic data structures, such as arrays and linked lists, to solve complex problems
Review the produced code against specification criteria by applying testing techniques
Apply C programming language to solve simple decision, looping, array, and linked list problems programmatically",C programming; problem-solving using data structures; code testing and debugging; critical thinking and systematic problem solving,"C; problem-solving; data structures; code debugging and testing
",Fundamental programming concepts; introduction to computer science; C programming language; program design and organization; program testing and debugging,Basics of computer programming; mechanics of computer operation; translating real-world problems into computer programs; foundational computer science principles; effective programming style and practices,This course teaches students how to instruct computers to solve problems by learning fundamental programming concepts and the C programming language.
COMP2041,Software Construction: Techniques and Tools,School of Computer Science and Engineering,https://www.unsw.edu.au/course-outlines/course-outline#year=2024&term=Term%201&deliveryMode=In%20Person&deliveryFormat=Standard&teachingPeriod=T1&deliveryLocation=Kensington&courseCode=COMP2041&activityGroupId=1,"This course is designed for students who have mastered the basics of programming. It aims to broaden your knowledge of techniques and tools for software construction. It covers: Unix filters, shell scripting and Python (for programming), git (for version control), docker (for portable deployment), package managers (for configuration and deployment). At the end of this course, you should be able to build moderate-sized software systems and configure them so that others can download and deploy your work.","This course aims to expand your programming and system configuration ability to the point where you can put your own software on github and have others make use of it. It is core for the Bioinformatics and Software Engineering programs, and is a popular elective in other CSE programs. It is also valuable in giving you exposure to common industry tools.","Understand when to use of specific technologies and strategies during software development
Build software systems using a range of techniques and strategies
Solve problems by writing Unix shell scripts and Python programs
Use tools for version control, system configuration, debugging, and performance improvement
Articulate and communicate effectively concepts related to programming and systems","Course Description: This course is designed for students who have mastered the basics of programming. It aims to broaden your knowledge of techniques and tools for software construction. It covers: Unix filters, shell scripting and Python (for programming), git (for version control), docker (for portable deployment), package managers (for configuration and deployment). At the end of this course, you should be able to build moderate-sized software systems and configure them so that others can download and deploy your work.
Course Aims: This course aims to expand your programming and system configuration ability to the point where you can put your own software on github and have others make use of it. It is core for the Bioinformatics and Software Engineering programs, and is a popular elective in other CSE programs. It is also valuable in giving you exposure to common industry tools.
Course Learning Outcomes: Understand when to use of specific technologies and strategies during software development
Build software systems using a range of techniques and strategies
Solve problems by writing Unix shell scripts and Python programs
Use tools for version control, system configuration, debugging, and performance improvement
Articulate and communicate effectively concepts related to programming and systems",Advanced programming in Python and shell scripting; use of Unix/Linux tools; version control with Git; software deployment with Docker; system configuration using package managers,"Python; Shell Scripting languages; Unix/Linux tools; Version control systems: Git, GitHub, GitLab; Docker; system configuration using package managers; continuous integration and deployment; software testing, building and deployment


",Software construction techniques; Unix filters and shell scripting; Python programming; use of Git for version control; Docker for deployment; package management for software configuration,Building and configuring moderate-sized software systems; deploying software for public use; using industry-standard tools and techniques effectively,"This course enhances your knowledge and skills in software construction by teaching various techniques, tools, and strategies for building moderate-sized software systems."
COMP2111,System Modelling and Design,School of Computer Science and Engineering,https://www.unsw.edu.au/course-outlines/course-outline#year=2024&term=Term%201&deliveryMode=Multimodal&deliveryFormat=Standard&teachingPeriod=T1&deliveryLocation=Kensington&courseCode=COMP2111&activityGroupId=1,"This course introduces rigorous and formal methods for modelling system behaviour. These methods support the modelling of abstract specifications and the refinement of abstract specifications through to concrete implementations. Consistency of formal development is verified by proof obligations and formal proof. The course will cover: specification, refinement, implementation, proof obligations, and proof. It re-inforces, and builds on, prerequisite knowledge from MATH1081, especially set theory and predicate logic. The course will use case-studies and assignments to develop competence. The methods developed in this course are used in the SENG2011 workshops and in safety-critical industrial contexts.",,"effectivelyemploy a toolkit of formal modelling approaches frequently used incomputing
carry out rigorous reasoningabout computingartefacts
appreciatethe relevance of discrete mathematics to computing
make effective use of discrete mathematics concepts","Course description: This course introduces rigorous and formal methods for modelling system behaviour. These methods support the modelling of abstract specifications and the refinement of abstract specifications through to concrete implementations. Consistency of formal development is verified by proof obligations and formal proof. The course will cover: specification, refinement, implementation, proof obligations, and proof. It re-inforces, and builds on, prerequisite knowledge from MATH1081, especially set theory and predicate logic. The course will use case-studies and assignments to develop competence. The methods developed in this course are used in the SENG2011 workshops and in safety-critical industrial contexts. Course Learning Outcomes: effectivelyemploy a toolkit of formal modelling approaches frequently used incomputing
carry out rigorous reasoningabout computingartefacts
appreciatethe relevance of discrete mathematics to computing
make effective use of discrete mathematics concepts",Application of formal methods in system modeling; rigorous reasoning and proof techniques; use of set theory and predicate logic in computing,Application of formal methods in system modeling; rigorous reasoning and proof techniques; set theory; predicate logic; discrete mathematics,Formal methods in computing; specification and refinement of systems; implementation through formal proof; proof obligations; discrete mathematics applications in computing,Understanding and employing formal modeling techniques; verifying system consistency through formal development; relevance and application of discrete mathematics in computing systems,"This course applies rigorous methods for modeling system behavior, covering specification, refinement, implementation, and proof to develop competence in formal development and verification."
