Skill, Category
Python, Programming languages
JavaScript, Programming languages
SQL, Programming languages
C, Programming languages
C++, Programming languages
Java, Programming languages
R, Programming languages
PyTorch, Programming languages
TensorFlow, Programming languages
scikit-learn, Programming languages
Node.js, Programming languages
Django (Python), Programming languages
Ruby on Rails, Programming languages
HTML, Programming languages
CSS, Programming languages
"JavaScript (React/ React Native, Angular, Vue.js)", Programming languages
LaTeX, Programming languages
"Hadoop (YARN, HDFS, HBase, Hive)", Programming languages
Spark, Programming languages
OpenCV, Programming languages
MATLAB, Programming languages
Maple, Programming languages
SAS, Programming languages
Julia, Programming languages
Ansys,Programming languages
Shell Scripting languages, Programming languages
"Privacy and Security: differential privacy, secure aggregation", Software development
Cloud data lake platforms (Databricks Lakehouse), Software development
Android app decompilation  , Software development
system configuration using package managers, Software development
"Version control systems: Git, GitHub, GitLab", Software development
Unix/Linux tools, Software development
web application development, Software development
agile software development, Software development
Front-end	, Software development
DOM manipulation, Software development
Back-end, Software development
API Integration, Software development
Software integration, Software development
continuous integration and deployment, Software development
Microsoft Azure Cloud, Software development
"API Development: RESTful, GraphQL APIs", Software development
"Technology stack: MEAN stack, MERN stack", Software development
middleware technologies, Software development
HCI principles, Software development
code debugging and testing, Software development
testing frameworks and practices, Software development
usability testing methodologies and techniques, Software development
UI design, Software development
"Design for accessibility, international viability", Software development
software maintenance strategies, Software development
object-oriented design, Software development
tkinter for GUI development, Software development
software system design, Software development
UI/UX principles and implementation, Software development
Flutter, Software development
"database design and management: NoSQL, MySQL, PostgreSQL, MongoDB", Software development
recovery mechanisms, Software development
security in databases, Software development
"Agile software development methods, practices and tools"  , Software development
"software testing, building and deployment", Software development
web scrapping, Software development
unit tests, Software development
Professional team dynamics management, Software development
Docker, Software development
Snakemake, Software development
cross-platform compatibility, Software development
Application Programming Interface (API) , Software development
Android app development, Software development
iOS app development, Software development
VS Code Extension Development	, Software development
VS Code API, Software development
hardware APIs and SDKs, Software development
software vulnerability detection, Software development
Security engineering in web development, Software development
Dash web dashboard framework, Software development
penetration testing, Computer science
performance analysis, Computer science
Network protocol design and analysis, Computer science
network security, Computer science
network programming, Computer science
network architecture, Computer science
discrete event simulation, Computer science
integer programming, Computer science
Data compression techniques, Computer science
Web data search and retrieval, Computer science
programming for data optimization, Computer science
Programming language syntax and semantics, Computer science
Data visualization  , Computer science
compiler construction, Computer science
Virtual machine architecture, Computer science
computer architecture, Computer science
hardware designs, Computer science
"Processes, threads, concurrency management", Computer science
File systems management, Computer science
memory management, Computer science
Standard Template Library (STL), Computer science
Designing and optimizing processors, Computer science
Library design/implementation  , Computer science
Protocol design/implementation  , Computer science
Application of formal methods in system modeling, Computer science
IoT system design, Computer science
end-to-end IoT solutions, Computer science
IoT platform usage, Computer science
IoT technology, Computer science
sensor data processing, Computer science
machine learning in IoT, Computer science
IoT security , Computer science
IoT system architecture, Computer science
IoT cloud services, Computer science
embedded hardware for IoT, Computer science
Knowledge of blockchain technology, Computer science
"Cryptography, distributed computing, secure coding fundamentals", Computer science
ethics in cryptography, Computer science
computer systems, Computer science
Algorithm design, Computer science
linear programming and NP-hard problems , Computer science
heuristic algorithm design, Computer science
approximation algorithm development, Computer science
parameterized algorithm design, Computer science
exponential-time algorithm analysis, Computer science
linear programming and NP-hard problems, Computer science
randomized and quantum algorithms, Computer science
recursion, Computer science
abstract data types, Computer science
binary search trees, Computer science
balanced search trees, Computer science
graphs, Computer science
sorting algorithms, Computer science
heaps, Computer science
hashing, Computer science
tries, Computer science
data structures, Computer science
algorithm analysis, Computer science
Forensic principles and techniques, Computer science
"Memory, disk, and network forensics", Computer science
anti-forensics techniques, Computer science
cloud forensics, Computer science
mobile forensics, Computer science
dynamic data structures, Computer science
Formal languages, Computer science
Turing Machines, Computer science
"Computability, semi-decidability concepts", Computer science
Universal TMs, Computer science
Church-Turing thesis, Computer science
Halting problem, Computer science
undecidability proofs, Computer science
