Project Title,Project Clients,Project Specializations,Number of groups,Background,Requirements and Scope,Required Knowledge and skills,Expected outcomes/deliverables,Supervision,filename
Course Insight and Skills Alignment Platform,"Dr Basem Suleiman,  School of Computer Science and Engineering and 
Arthur Chen","Software development/Engineering, Web Application 
Development, Data Analytics and Visualization, Natural Language Processing (NLP),",2,"The project aims to develop a web application platform that collect and aggregate course 
information (course outlines) from different data sources (e.g., web pages, other systems) and 
implement an LLM-supported module  to summarize the topics, knowledge, and skills covered 
in each course. Additionally, the application allows users to input their completed courses, and 
work experience, and use AI based decision making system to assess how well their knowledge 
and skills align with project requirements.","Users  
• Admin users can manage user accounts and the platform.  
• Users with different roles and responsibilities can create their account, login and 
operate the system based on their roles and responsibilities.  
• Users can edit/maintain their profiles.  
Academic users  
• Academic users (with privileges) can choose to scrape or collect course information 
from selected sources (e.g., web page, files, or other system). Collected course 
information will be saved and updated in a database with version history 
(timestamped).  
• Academic users can add course to summarize by providing data source of the course 
information / outline (extracted from one or more data sources – files, web page, other 
system). Course summary can include key skills, knowledge areas, topics. This should 
be powered by LLM.  
• Academic users can see and visualize the topics, knowledge, and experience of one or 
more course (both textual and visual summary)  
• Academic users can add projects and specify project details (title, scope, 
requirements, skills, knowledge areas/topics, expected outcomes)  
Student users  • Students can create their own profile and maintain it.  
• Students can add/choose list of courses they have successfully completed. This can be 
done through manual selection of courses and through uploading academics 
transcripts. The system will provide a summary of the overall gained knowledge with 
different vie ws. It will also provide summary of skills and knowledge of each course. 
The summaries will include textual and visual formats.  
• Students can generate skills gap analysis through the system, highlighting the extent 
to which a student profile meets knowledge and skills of a project.  
• Students can see list of recommended students who their profile best match their own 
knowledge and skills. Students may choose to join a group.  This match should be 
powered by LLM.  
• Students can see list of projects that best match their knowledge and skills.  This 
match should be powered by LLM.  
• Student can choose to share their profiles with other students and academics.","• Familiarity with web application development (front-end and back-end) 
o Technology stack can be flexible – e.g., MEAN stack.  
• Familiarity with web development and testing frameworks and practices  
• Familiarity with database design and management for storing data (e.g., NoSQL)  
• Familiarity with UI/UX principles and implementation  
• Familiarity with NLP techniques and libraries especially for LLM.  
• Familiarity with Agile software development methods, practices and tools  
• Familiarity with software testing, building and deployment.","• Project documentation including source code, system architecture and design, UI/UX, 
different types of testing, user manuals and guide, technical guide  
• Responsive Web application which is accessible on various devices, e.g., tablets and 
smartphones.",None,P36 - Course Insights and Skill Alignment Platform.pdf
Successful Outcomes,Sonit Singh,"Software development; Web application development; Big data 
analytics and visualization .",3,"With the changing educational landscape, it is important that students must achieve outcomes 
successfully for which they are originally enrolled. Bloom’s taxonomy provides a two -
dimensional framework for identifying, categorising, and scaffolding learning outcomes with a 
cognitive emphasis. A web application to support such mapping can give students better 
successful outcomes, allow schools and univ ersities to identify gaps in course offerings as well 
as redundancies, and help schools to utilise evidence-based information for accreditation 
purposes.","The aim of the project is to build a tool to map course learning outcomes in a program to assess 
cognitive levels incorporating Bloom’s Taxonomy. The Bloom’s taxonomy divides learning 
objectives into six levels, each indicating a different cognitive proces s. 
The project will be provided access to course outlines for various CSE programs. The goal is to 
extract course learning outcomes and map to Bloom’s taxonomy levels.","For this project, we will be using web development frameworks such as MERN (MongoDB, 
Express, React.js, and Node.js) but open based on the skills of the group.","The team working on the project should deliver a written report on the project, source code, and 
working web application .",Sonit Singh,P16 - Successful Outcomes.pdf
Career path analysis and lifelong learning,Sonit Singh,"Software development; Web application development; Artificial 
Intelligence (Machine/Deep Learning, NLP); Big data analytics and visualization.",3,"With the rapid development of technologies such as artificial intelligence (AI), generative 
artificial intelligence (GenAI), and internet of things (IoT), the landscape of jobs market is very 
dynamic and demands new skills and knowledge. Current and future workforce will have to 
either upskill as they move to new jobs within the same i ndustry or reskill themselves, 
highlighting the importance and need of lifelong learning. Therefore, there is a need to collect 
and analyse data to understand evolving labour market landscape providing users the insights 
about career pathway trajectories a nd giving recommendations for retraining or reskilling.","The aim of the project is to collect and analyse job postings data collected by Burning Glass, 
user profiles or resumes on professional networking sites such as LinkedIn, Seek, and Indeed. 
We will extract key entities such as job titles, education, skills,  and companies and analyse the 
data which can help us to visualise career trajectories and recommendations for future jobs.   
The project requires team to scrap data from professional networking sites like LinkedIn, Seek, 
and Indeed, analysing it and building some sort of visualisation tool for career pathway 
modelling.","The team working on this project must have data science skill such as web scrapping, 
visualisation, and building models and have proficiency in Python programming. Given the goal 
of this project is to come up with a visualisation tool, familiarity with web  application 
development is added benefit.","The team working on the project should deliver a written report on the project, source code, and 
working web application.",Sonit Singh,P8 - Career path analysis and lifelong learning.pdf
University progression pathways visualisation and analysis,Stuart Prescott,"Software development; Web application development; Big data 
analytics and visualization .",4,"Students take lots of different pathways through our degrees - even in streams where there are 
not many electives, the order in which courses are taken is often not as designed, due to being 
enrolled part time, double degrees, failing courses, going on exchange, or simply just deciding 
against following the advised course sequence.  
 
The goals of the project are to develop one or more tools that  
- help visualise the paths that students take through their degrees  
- help identify students who are taking unusual course sequences to be able to make contact 
for academic advising  
- help predict course enrolments in subsequent courses based on typical pathways and prereqs 
having been met .","Pathways through the BE(Hons) degree; we can initially scope this down to just one or two 
streams. Building the tools flexibly enough that they can be applied to other programs and 
streams is necessary.  
1. Loading data from standard sources; likely several years' of per-term SiMS enrolment 
records (de-identified or synthetic)  
2. Visualisation on a course-by-course basis, e.g. sankey diagrams of pathways into and out of 
a target course  
3. Visualisation on a stream basis, e.g. a graph with weightings  
4. Visualisation/reporting of students who are off-plan 
5. Summarisation/reporting tools of projected numbers of students who are eligible for courses 
in future terms based on progression/prereq requirements  
6. Stretch goal... ML to predict numbers for next 3 terms based on historical trends and current 
term.","Data handling, cleaning etc - this will be database-backed  
Data visualisation  
UI design .","UI for enrolment data analysis - source code  
Documentation of algorithms used to clean, link, visualise data  
User guide for common tasks  
Not prescriptive about the form of the UI as desktop app or web app - but be conscious that a 
real deployment would be touching student data classed as personal or sensitive.",Stuart Prescott,P21 - University progression pathways visualisation and analysis.pdf
AI-Driven Shoreline Mapping for Coastal Monitoring,Jonathan Chan,"Software development; Artificial Intelligence (Machine/Deep 
Learning, NLP); Computer vision.",5,"With rising sea levels, more intense storm events and increased coastal development, effective 
coastal management is integral to preserving and protecting vulnerable communities and 
ecosystems in low-lying coastal areas.  
A key metric for informing coastal management and answering challenging questions such as 
“Where is the coastline most vulnerable?” or “How effective is this artificial reef?” is beach width 
variability. The primary means of measuring beach width variabili ty involves extracting the 
shoreline positions (the sand-water interface) from images, such as satellite images, phones 
and fixed cameras . 
Current tools for extracting shoreline positions from images are based on simple image 
processing techniques, are specific to image types and require manual intervention, restricting 
the potential for extracting shorelines from images in near real-time and  from the extensive 
archive of coastal images. With recent advances in AI, neural networks and image 
segmentation, there’s potential for a powerful tool for extracting shorelines from all types of 
images. If developed, this tool would greatly enhance the d ata accessible to coastal scientists 
and practitioners, leading to more informed coastal management.  
The goal if this project is to have a single and robust AI drive solution to effectively extract 
shorelines from images.","The scope of this project is to develop a robust AI-driven tool for automatically mapping 
shoreline positions from various image sources, including satellite images, phone images, and 
fixed camera images. The tools could be used by people with different ba ckgrounds and from 
anywhere in the world, so it is important that the tool is simple and user-friendly. It is understood 
that some machine learning tools and packages that could be incorporated into the solution 
require specific hardware.  
The group will be provided with an extensive dataset comprised of images and mapped 
shorelines for model training and validation. The group will then design and implement their 
own solution to extract shoreline positions from images.  
The group needs to ensure the tool can handle images from various sources with different 
resolutions and qualities. The group will initially begin by developing a tool to work on oblique 
aerial images and following this the group will incorporate satellite imagery.  
The solution should be simple and easy to use, requiring minimal user input besides some hyperparameter tuning and a user-defined image source and output directory.","Experience programming in python would be preferable, but not essential.","A robust tool for mapping shorelines on different image sources (fixed cameras, phone 
cameras and satellite images).  
• Documentation for deployment  
• A user guide.  
• A report containing a summary of the options that were explored, a diagram of the system 
architecture, justification for the chosen architecture, a summary of model hyperparameter 
tuning and a summary of the overall model performance for different image so urces.",Jonathan Chan,P29 - AI-Driven Shoreline Mapping for Coastal Monitoring.pdf
Modelling the interplay of COVID-19 variants in Australia,Jiaojiao Jiang,Software development; Big data analytics and visualization .,6,"Australia experienced initial COVID-19 outbreaks in early 2020, leading to nationwide 
lockdowns and strict public health measures. The emergence of new variants has posed 
ongoing challenges. For instance, the Delta variant caused significant outbreaks in 2021, and 
the Omicron variant led to new waves of infections due to its high transmissibility. The aim of 
this project is to develop a s ystem to understand and predict the interplay of different COVID-19 
variants in Australia. This model will analyze the spread, mutation rates, and impact of various 
COVID-19 variants, providing valuable insights to inform public health strategies and 
interventions.","1. Data Acquisition: Collecting data from national health departments.  
2. Data Processing: Cleaning, preprocessing, and integrating data from multiple sources.  
3. Model Development: Implementing the SEIRS-V model to simulate the local dynamics of 
infection spreading.  
4. Variant Interaction Analysis: Analyzing how different variants interact and compete within the 
population.  
5. Visualization Tools: Developing interactive dashboards and visualizations to display model 
results and predictions.  
Data Collection  
1. Data Sources: Integrate data from national health departments.  
Epidemiological Model Development  
1. Model Framework: Implement the SEIRS-V model to simulate the spread of COVID-19 and 
its variants.  
2. Variant Interaction: Incorporate mechanisms to model the interaction between different 
variants, including competition and mutation dynamics.  
 
  
Visualization  
1. Interactive Dashboards: Develop interactive dashboards to visualize model outputs, trends, 
and predictions.  
2. Graphical Representations: Provide various types of visualizations such as line graphs, heat 
maps, and network diagrams to represent data and model results.","Programming Languages  
1. Python: For data processing and backend development.  
2. JavaScript: For frontend development.  
3. SQL/NoSQL: For database management and querying.  
Adaptability and Collaboration  
1. Learning New Technologies: Willingness to learn and adapt to new technologies and 
methodologies as the project evolves.  
2. Team Collaboration: Ability to work effectively within a multidisciplinary team.","source code, user guide, and documentation.",Jiaojiao Jiang,P12 - Modelling the interplay of COVID-19 variants in Australia.pdf
3D motion capture from RGB images,"Rahm Ranjan  and Sensory Processes and Innovations Lab (UNSW) and The 
Livability Lab (UNSW)",Software development; Computer vision .,7,"Background: human motion capture is required for many industries such as healthcare. Current 
gold standard relies on expensive 3D motion capture equipment such as Opti track systems. 
Use of human pose estimation algorithms on 2D images can allow for cheape r and more 
portable methods of capturing human motion such as video data.  
Goals: Develop software that takes the input of two synchronized videos of a human and 
reproduces 3D coordinates that can be visualized using 3D modeling program such as Blender 
or Unity.","In-Scope:  
• Algorithm Development:  
o Research and implement coordinate reconstruction algorithms.  
o Optimize for accuracy over real-time performance.  
• Video Input Handling:  
o Accept synchronized video input.  
o Extract relevant frames for processing.  
o Calibration of cameras or hardware setup for video synchronization.  
• Coordinate Export:  
o Visualise reconstructed 3D coordinates as data formats such as pkl and csv files.  
• Integration with 3D Modeling Software:  
o Ensure compatibility with Blender and Unity.  
o Provide clear instructions for users on importing the data.  
• Out-of-Scope:  
• Advanced Features:  
o Any additional features beyond basic coordinate reconstruction and visualization.  
o Features that significantly extend the project timeline.  
• User Training:  o In-depth training or tutorials for using Blender or Unity.  
Our goal is to develop software that takes input from two synchronized videos of a human 
subject and reconstructs 3D coordinates. Code is in Python/C++. These coordinates can then 
be visualized using 3D modeling programs such as Blender or Unity. The proje ct duration is 10 
weeks .","Students have prior experience in software development and computer vision. They are able to 
use python/c++.","• The software successfully reconstructs accurate 3D coordinates from synchronized video 
input.  
• Users can visualize these coordinates in Blender or Unity.  
• The user interface is intuitive and straightforward.",Rahm Ranjan,P32 - 3D motion capture from RGB images.pdf
Developing a bioinformatics pipeline for immunome analysis,Sara Ballouz,"Software development; Computer Science and Algorithms; Big  
data analytics and visualization; Bioinformatics/Biomedical .",8,"Identification of the antigens associated with antibodies is vital to understanding the immune 
response. However, high-throughput analysis of these antigens is still limited as it is expensive, 
and thus current software tools to analyse this data are lacki ng.  
The aims of this project are to implement several algorithms to analyse data from the Serum 
Epitope Repertoire Analysis (SERA) platform that can be used as a standalone package or part 
of a bioinformatics pipeline .","The students will develop a software tool or package that will parse and process the data from 
the SERA platform. This will include quality control, at least two algorithms, visualisation reports 
and processed data for downstream analysis.  
Multiple algorithms have been written to analyse this data but are not freely available. An in -
house developed tool that can be shared/used will aid in the analysis of this data by non -
bioinformatics researchers. Most of this analysis involves sequence pro cessing and matching, 
and statistical tests to determine significance and likelihoods.  
Data:  
SERA data is the processed output from next-generation sequencing of the antigens that have 
been extracted from a sample. This data is in the form of short peptides/protein k -mers (k=5 
and k=6), from a restricted alphabet of amino acids (~20 letters), alon g with a Log -Enrichment 
score (LE) of that peptide. Each sample will have on average 2.7million 5-mer and 8.7million 6-
mer peptide sequences. The data is in the form of CSV files.  
E.g.,  
CRICM,112.718522  
CRVCM,107.296108  
TTRAE,107.136805  
CIICM,96.581866  
CTICM,94.422249  ACDSK,91.548217  
Algorithms:  
- PIWAS (Protein-based Immunome Wide Association Study). 
https://pubmed.ncbi.nlm.nih.gov/33986742/  
- PIE (Protein wide Identification of Epitopes) 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10620090/  
PIWAs:  
PIWAs is used to identify antigen and epitope signals against a reference proteome. As input 
for the PIWAs algorithm, samples are labelled by condition and a target proteome selected. For 
each sample and protein in the proteome, PIWAs scores are calculated  by tiling the kmers onto 
the protein sequence, smoothing over a window of these kmers, normalizing to the background 
signal, and calculating the maximum value. Background samples might not be available and 
simulated data will need to be used.  
PIE: 
The PIE algorithm is used to locate regions within the protein sequence that had stronger outlier 
signals. In this case, for each position in the protein sequence, all case and control sample 
values are normalized using median absolute deviation based on t he distribution of the control 
sample values. An outlier threshold is calculated and then an outlier statistic. Values exceeding 
set thresholds are considered significant, and adjacent regions merged to define the region of 
interest.  
Output and data visualisation:  
The output should be the proteins (and their sequences) detected from the PIWAs, and the 
regions of interest from the PIE analysis.  
Visualisation will include distributions or log-enrichment scores, heatmaps of tiling, plots of 
smoothing and outlier scores.  
Further/exact details will be discussed.  
Depending on time, additional methods may be incorporated into the package.  
These include and are not limited to:  
- A shiny app  
- Unsupervised analysis of the output (PCA, linear regression, hierarchical clustering)","Students should know how to use either python or R for statistical and visualisation.   
Scripting languages (as simple as bash) and workflow tools such as Docker or Snakemake.  
Basic biology is not necessary but useful (ie what are proteins, sequencing) .","Expected outcome:  
Final product should be a software package for either R or python (or both!) that implements the 
tools for the analysis of SERA data.  
 
Deliverables:  
- Source code (scripts/software) that can run as part of a next -generation sequencing pipeline  
- Implementation of the PIWAs algorithm as a standalone and one that can run as part of the 
package  
- Implementation of the PIE algorithm as a standalone and part of the package  
- Visualisation plots of the outputs that can be used with the output from the software/tool  
- Documentation on how to use the scripts and examples  
- Any additional functionality that are within the scope of the project that will help in its use .",Sara Ballouz,P13 - Developing a bioinformatics pipeline for immunome analysis.pdf
Event Aggregation and Management Platform,Dr Basem Suleiman,"Software development /Engineering , Web/Mobile  
Application Development,  Algorithms",9,None,None,None,None,None,P41 - Event Aggregation and Management Web Platform.pdf
"Comparative Analysis of Fine-Tuning Techniques for Large Language Models on 
Domain-Specific Tasks","Dr Basem Suleiman , Piyavachara Nacchanandana","Software development; Web application development; Artificial 
Intelligence (Machine/Deep Learning, NLP); Big data analytics and visualization.",5,"Large language models (LLMs) have showcased remarkable performance across various 
natural language processing tasks. However, their out-of-the-box capabilities can be further 
enhanced by fine-tuning them on specific datasets and tasks. This project delves into the 
empirical comparison of different fine-tuning techniques on at least two large language models, 
aiming to identify the most effective strategies for various domain-specific applications.  
Project Goals:  
Comparative Analysis: The primary goal is to systematically compare and evaluate the 
effectiveness of different fine-tuning techniques (e.g., full fine-tuning, parameter-efficient fine-
tuning, prompt tuning, knowledge distillation) on at least two pre-trained LLMs.  
Performance Benchmarking: Establish performance benchmarks for the selected LLMs on two 
chosen datasets, assessing their baseline capabilities before and after fine-tuning.  
Domain-Specific Insights: Analyze the impact of different fine-tuning techniques on domain-
specific tasks. Identify which techniques are most suitable for different types of tasks or 
domains.  
Resource Optimization: Explore methods for efficient fine-tuning, such as parameter-efficient 
techniques, to reduce computational costs and training time.  
Generalization: Assess the ability of fine-tuned models to generalize to new, unseen data within 
the chosen domain.","The project will encompass the following:  
 
LLM Selection: Choose at least two pre-trained LLMs (e.g., GPT-3, BERT, T5) with different 
architectures and training objectives.  
 
Dataset Selection: Select two datasets relevant to the chosen domain(s) with diverse 
characteristics (e.g., size, text types, task complexity).  
 Fine-Tuning Techniques: Implement and evaluate at least three different fine-tuning techniques, 
such as:  Full fine-tuning , Parameter-efficient fine-tuning (PEFT) methods (e.g., LoRA, 
AdapterHub) , Prompt tuning  and Knowledge distillation  
 
Experimental Design: Design a rigorous experimental framework to compare the performance 
of different fine-tuning techniques across multiple tasks and datasets.  
Evaluation Metrics: Choose appropriate evaluation metrics (e.g., accuracy, F1 score, BLEU 
score ) to measure the p erformance of each model and fine-tuning technique.  
 
Analyze the results and draw conclusions about the effectiveness of different techniques.  
Out of Scope:  
 
Training LLMs from Scratch: This project will focus on fine-tuning existing LLMs, not training 
new ones.  
 
Large-Scale Deployment: The project will not involve deploying models in a production 
environment.","Machine Learning and NLP: Strong understanding of ML and NLP concepts, including 
transformers, language models, and fine-tuning techniques.  
Programming: Proficiency in Python and experience with deep learning frameworks (e.g., 
PyTorch, TensorFlow) and libraries (e.g., Hugging Face Transformers).  
Experimental Design: Ability to design and conduct rigorous experiments to compare different 
methods.  
Data Analysis: Skills in analyzing and interpreting experimental results.","A comprehensive comparative analysis of different fine-tuning techniques for LLMs on domain-
specific tasks.  
Performance benchmarks for the chosen LLMs on the selected datasets.  
Insights into the most effective fine -tuning strategies for different types of tasks and domains.  
A well-documented report detailing the project's methodology, results, and conclusions.",Piyavachara Nacchanandana,P3 - Comparative Analysis of Fine-Tuning Techniques for Large Language Models on Domain-Specific Tasks.pdf
